,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-7.3078,22.8018,-71.052795,-29.610296,45.48195,-38.70174,1669601071384.0
1,-10.1138,22.8262,-71.9434,-29.610298,45.48195,-38.70174,1669601071943.97
2,-12.773399,22.350399,-73.3586,-29.610298,45.48195,-38.70174,1669601072503.94
3,-9.2232,22.6188,-72.0166,-29.610298,45.48195,-38.70174,1669601073063.9097
4,-2.9036,23.8388,-70.2354,-29.610298,45.48195,-38.70174,1669601073623.8796
5,0.1586,24.692799,-68.686,-29.610298,45.48195,-38.70174,1669601074183.8496
6,1.1101999,24.2292,-68.100395,-29.610298,45.48195,-38.70174,1669601074743.8196
7,0.9882,23.911999,-67.7466,-29.610298,45.48195,-38.70174,1669601075303.7896
8,0.7686,23.3874,-67.7588,-29.610298,45.48195,-38.70174,1669601075863.7593
9,0.26839998,23.8022,-67.795395,-29.610298,45.48195,-38.70174,1669601076423.7292
10,0.92719996,23.7046,-67.5636,-29.610298,45.48195,-38.70174,1669601076983.6992
11,0.0854,23.4728,-67.7344,-29.610298,45.48195,-38.70174,1669601077543.6692
12,0.48799998,23.424,-67.71,-29.610298,45.48195,-38.70174,1669601078103.6392
13,1.1101999,23.326399,-67.319595,-29.610298,45.48195,-38.70174,1669601078663.6091
14,0.854,22.8384,-66.8804,-29.610298,45.48195,-38.70174,1669601079223.5789
15,1.0004,22.997,-67.1732,-29.610298,45.48195,-38.70174,1669601079783.5488
16,-0.0122,22.4846,-68.088196,-29.610298,45.48195,-38.70174,1669601080343.5188
17,0.0854,22.7652,-67.783195,-29.610298,45.48195,-38.70174,1669601080903.4888
18,1.4518,23.302,-67.0512,-29.610298,45.48195,-38.70174,1669601081463.4587
19,3.1842,24.0096,-66.1728,-29.610296,45.48195,-38.70174,1669601082023.4285
20,1.0004,23.1434,-66.9292,-29.610294,45.48195,-38.70174,1669601082583.3984
21,0.6466,22.692,-67.5148,-29.610294,45.48195,-38.70174,1669601083143.3684
22,1.0004,23.424,-67.5148,-29.610294,45.48195,-38.70174,1669601083703.3384
23,-0.854,22.4114,-67.014595,-29.610294,45.48195,-38.70174,1669601084263.3083
24,-0.1708,22.387,-67.3806,-29.610294,45.48195,-38.70174,1669601084823.278
25,-1.1834,22.6066,-68.381,-29.610294,45.48195,-38.70174,1669601085383.248
26,-0.93939996,22.6798,-67.405,-29.610294,45.48195,-38.70174,1669601085943.218
27,0.8174,22.875,-67.929596,-29.610294,45.48195,-38.70174,1669601086503.188
28,-0.8052,22.313799,-67.5514,-29.610294,45.48195,-38.70174,1669601087063.158
29,-0.46359998,22.2528,-67.319595,-29.610294,45.48195,-38.70174,1669601087623.128
30,4.5628,34.5748,-70.638,-29.610296,45.48195,-38.70174,1669601088183.0977
31,2.8548,34.440598,-71.736,-29.610294,45.48195,-38.70174,1669601088743.0676
32,2.8669999,34.3674,-71.2602,-29.610294,45.48195,-38.70174,1669601089303.0376
33,3.3794,34.4162,-70.7722,-29.610294,45.48195,-38.70174,1669601089863.0076
34,5.856,36.538998,-70.0036,-29.610294,45.48195,-38.70174,1669601090422.9775
35,7.0759997,37.515,-68.8202,-29.610294,45.48195,-38.70174,1669601090982.9473
36,5.3192,37.783398,-70.3696,-29.610294,45.48195,-38.70174,1669601091542.9172
37,5.6242,37.2222,-69.845,-29.610294,45.48195,-38.70174,1669601092102.8872
38,5.9902,36.8562,-69.0642,-29.610294,45.48195,-38.70174,1669601092662.8572
39,5.795,37.1734,-69.332596,-29.610294,45.48195,-38.70174,1669601093222.8271
40,5.551,37.3564,-69.1496,-29.610294,45.48195,-38.70174,1669601093782.7969
41,5.0508,36.7952,-70.6258,-29.610294,45.48195,-38.70174,1669601094342.7668
42,5.246,36.6854,-69.6254,-29.610294,45.48195,-38.70174,1669601094902.7368
43,6.161,36.7098,-69.113,-29.610294,45.48195,-38.70174,1669601095462.7068
